1 0  
2 6  
3 11  
4 18  
5 27  
6 38  
7 58  
8 69  
9 66  
10 82  
11 100  
12 103  
13 170  
14 176  
15 150  
16 177  
17 204  
18 198  
19 230  
20 208  
21 246  
22 239  
23 282  
24 405  
25 363  
26 333  
27 340  
28 528  
29 429  
30 443  
31 424  
32 544  
33 456  
34 451  
35 459  
36 500  
37 531  
38 566  
39 620  
40 581  
41 665  
42 817  
43 649  
44 962  
45 637  
46 927  
47 775  
48 843  
49 891  
50 928  
51 860  
52 839  
53 885  
54 915  
55 1266  
56 1194  
57 1043  
58 1040  
59 1105  
60 1086  
61 1151  
62 1004  
63 1057  
64 1109  
65 1133  
66 1139  
67 1335  
68 1278  
69 1253  
70 1234  
71 1235  
72 1448  
73 1204  
74 1373  
75 1328  
76 1377  
77 1448  
78 1447  
79 1571  
80 1481  
81 1581  
82 1530  
83 1630  
84 1664  
85 2195  
86 1687  
87 1547  
88 1627  
89 1497  
90 1748  
91 1753  
92 2321  
93 1759  
94 1824  
95 1753  
96 2233  
97 1886  
98 1777  
99 2319  
100 2239  
