1 0  
2 3  
3 7  
4 20  
5 39  
6 42  
7 42  
8 91  
9 99  
10 92  
11 104  
12 123  
13 142  
14 163  
15 149  
16 188  
17 213  
18 246  
19 231  
20 259  
21 252  
22 326  
23 283  
24 344  
25 414  
26 407  
27 355  
28 368  
29 419  
30 430  
31 482  
32 473  
33 569  
34 580  
35 605  
36 531  
37 597  
38 589  
39 611  
40 731  
41 672  
42 725  
43 725  
44 807  
45 740  
46 762  
47 924  
48 966  
49 913  
50 932  
51 1021  
52 1104  
53 988  
54 1145  
55 947  
56 1051  
57 1214  
58 1039  
59 1194  
60 1112  
61 1221  
62 1110  
63 1172  
64 1375  
65 1336  
66 1424  
67 1243  
68 1308  
69 1394  
70 1276  
71 1480  
72 1307  
73 1601  
74 1399  
75 1419  
76 1414  
77 1491  
78 1532  
79 1716  
80 1600  
81 1706  
82 1765  
83 1609  
84 1729  
85 1695  
86 1807  
87 1909  
88 1847  
89 1883  
90 1813  
91 1800  
92 1849  
93 1713  
94 2106  
95 1917  
96 2059  
97 1904  
98 1852  
99 2221  
100 1957  
