1 0  
2 6  
3 15  
4 23  
5 33  
6 44  
7 55  
8 64  
9 79  
10 95  
11 106  
12 121  
13 133  
14 146  
15 158  
16 171  
17 188  
18 204  
19 221  
20 235  
21 253  
22 270  
23 284  
24 297  
25 314  
26 331  
27 347  
28 364  
29 380  
30 391  
31 405  
32 421  
33 443  
34 458  
35 477  
36 498  
37 519  
38 533  
39 557  
40 575  
41 587  
42 606  
43 629  
44 646  
45 666  
46 678  
47 701  
48 718  
49 732  
50 754  
51 772  
52 791  
53 811  
54 823  
55 846  
56 866  
57 881  
58 898  
59 918  
60 934  
61 955  
62 974  
63 986  
64 1003  
65 1025  
66 1050  
67 1069  
68 1095  
69 1115  
70 1134  
71 1159  
72 1180  
73 1198  
74 1218  
75 1236  
76 1258  
77 1283  
78 1302  
79 1329  
80 1335  
81 1374  
82 1388  
83 1412  
84 1434  
85 1449  
86 1470  
87 1488  
88 1513  
89 1536  
90 1551  
91 1579  
92 1587  
93 1621  
94 1637  
95 1653  
96 1675  
97 1694  
98 1721  
99 1738  
100 1759  
