1 0 0  0
2 3 6  6
3 7 10  14
4 27 18  22
5 42 20  34
6 41 33  44
7 49 46  56
8 81 67  65
9 86 61  80
10 110 94  93
11 105 96  106
12 120 127  118
13 158 124  133
14 171 203  147
15 172 145  159
16 186 180  170
17 239 173  189
18 222 227  206
19 246 240  223
20 249 215  237
21 293 228  254
22 339 264  268
23 370 274  284
24 343 299  297
25 344 331  315
26 408 336  331
27 419 327  348
28 451 390  364
29 525 399  379
30 500 489  393
31 455 466  407
32 483 636  420
33 523 468  442
34 525 564  463
35 579 512  483
36 539 601  502
37 538 574  522
38 637 606  541
39 694 598  558
40 700 654  574
41 768 651  594
42 761 701  613
43 716 618  630
44 763 678  646
45 809 714  665
46 786 855  683
47 780 734  699
48 764 754  714
49 1180 847  736
50 848 893  756
51 962 852  776
52 1019 846  793
53 941 951  814
54 978 929  832
55 990 846  852
56 1013 1035  869
57 1146 888  888
58 1076 999  904
59 1154 1182  922
60 1191 1292  937
61 1247 1168  955
62 1127 962  970
63 1304 1352  987
64 1360 1117  1001
65 1145 1258  1026
66 1228 1317  1049
67 1314 1414  1073
68 1350 1229  1096
69 1230 1403  1119
70 1372 1298  1141
71 1311 1339  1163
72 1336 1385  1184
73 1436 1238  1207
74 1326 1436  1229
75 1578 1357  1251
76 1363 1463  1272
77 1587 1490  1292
78 1505 1419  1311
79 2038 1408  1330
80 1554 2014  1348
81 1599 1415  1372
82 1927 1578  1394
83 1612 1719  1417
84 1814 1510  1437
85 1741 1701  1458
86 1839 1589  1476
87 1675 2039  1496
88 2107 2085  1513
89 2149 1694  1536
90 1873 1751  1556
91 1918 1601  1578
92 1865 1889  1597
93 2119 1966  1617
94 2078 1909  1634
95 1810 2080  1653
96 1840 1980  1669
97 2158 2005  1694
98 1911 2135  1717
99 2051 1871  1740
100 2071 1957  1762
