30 1  1  30  1
30 2  2  88  11
30 3  3  88  22
30 4  4  122  24
30 5  5  142  25
30 6  6  142  26
30 7  7  142  27
30 8  8  146  28
30 9  9  168  29
30 10  10  188  29
30 11  11  188  29
30 12  12  188  29
30 13  13  188  29
30 14  14  188  29
30 15  15  188  29
30 16  16  190  29
30 17  17  192  29
30 18  18  216  29
30 19  19  218  29
30 20  20  218  29
30 21  21  218  29
30 22  22  218  29
30 23  23  218  29
30 24  24  218  29
30 25  25  218  29
30 26  26  218  29
30 27  27  218  29
30 28  28  218  29
30 29  29  218  29
30 30  30  218  30
