90 1  1  90  1
90 2  2  268  11
90 3  3  268  22
90 4  4  422  33
90 5  5  442  44
90 6  6  442  55
90 7  7  442  66
90 8  8  508  77
90 9  9  548  88
90 10  10  608  88
90 11  11  608  88
90 12  12  608  88
90 13  13  608  88
90 14  14  608  88
90 15  15  608  88
90 16  16  652  88
90 17  17  654  88
90 18  18  716  88
90 19  19  718  88
90 20  20  758  88
90 21  21  758  88
90 22  22  758  88
90 23  23  758  88
90 24  24  758  88
90 25  25  758  88
90 26  26  758  88
90 27  27  758  88
90 28  28  758  88
90 29  29  758  88
90 30  30  758  88
90 31  31  758  88
90 32  32  802  88
90 33  33  804  88
90 34  34  806  88
90 35  35  808  88
90 36  36  836  88
90 37  37  836  88
90 38  38  836  88
90 39  39  836  88
90 40  40  876  88
90 41  41  876  88
90 42  42  876  88
90 43  43  876  88
90 44  44  876  88
90 45  45  876  88
90 46  46  876  88
90 47  47  876  88
90 48  48  876  88
90 49  49  876  88
90 50  50  876  88
90 51  51  876  88
90 52  52  876  88
90 53  53  876  88
90 54  54  876  88
90 55  55  876  88
90 56  56  876  88
90 57  57  876  88
90 58  58  876  88
90 59  59  876  88
90 60  60  876  88
90 61  61  876  88
90 62  62  876  88
90 63  63  876  88
90 64  64  920  88
90 65  65  922  88
90 66  66  924  88
90 67  67  926  88
90 68  68  928  88
90 69  69  930  88
90 70  70  930  88
90 71  71  930  88
90 72  72  930  88
90 73  73  930  88
90 74  74  930  88
90 75  75  930  88
90 76  76  930  88
90 77  77  930  88
90 78  78  930  88
90 79  79  930  88
90 80  80  930  88
90 81  81  930  88
90 82  82  930  88
90 83  83  930  88
90 84  84  930  88
90 85  85  930  88
90 86  86  930  88
90 87  87  930  88
90 88  88  930  88
90 89  89  930  89
90 90  90  930  90
