50 1  1  50  1
50 2  2  148  11
50 3  3  148  22
50 4  4  222  33
50 5  5  242  44
50 6  6  242  46
50 7  7  242  47
50 8  8  246  48
50 9  9  306  49
50 10  10  328  49
50 11  11  328  49
50 12  12  328  49
50 13  13  328  49
50 14  14  328  49
50 15  15  328  49
50 16  16  330  49
50 17  17  332  49
50 18  18  394  49
50 19  19  396  49
50 20  20  398  49
50 21  21  398  49
50 22  22  398  49
50 23  23  398  49
50 24  24  398  49
50 25  25  398  49
50 26  26  398  49
50 27  27  398  49
50 28  28  398  49
50 29  29  398  49
50 30  30  398  49
50 31  31  398  49
50 32  32  400  49
50 33  33  402  49
50 34  34  404  49
50 35  35  406  49
50 36  36  434  49
50 37  37  434  49
50 38  38  434  49
50 39  39  434  49
50 40  40  436  49
50 41  41  436  49
50 42  42  436  49
50 43  43  436  49
50 44  44  436  49
50 45  45  436  49
50 46  46  436  49
50 47  47  436  49
50 48  48  436  49
50 49  49  436  49
50 50  50  436  50
