40 1  1  40  1
40 2  2  118  11
40 3  3  118  22
40 4  4  172  33
40 5  5  192  35
40 6  6  192  36
40 7  7  192  37
40 8  8  196  38
40 9  9  238  39
40 10  10  258  39
40 11  11  258  39
40 12  12  258  39
40 13  13  258  39
40 14  14  258  39
40 15  15  258  39
40 16  16  260  39
40 17  17  262  39
40 18  18  306  39
40 19  19  308  39
40 20  20  308  39
40 21  21  308  39
40 22  22  308  39
40 23  23  308  39
40 24  24  308  39
40 25  25  308  39
40 26  26  308  39
40 27  27  308  39
40 28  28  308  39
40 29  29  308  39
40 30  30  308  39
40 31  31  308  39
40 32  32  310  39
40 33  33  312  39
40 34  34  314  39
40 35  35  316  39
40 36  36  326  39
40 37  37  326  39
40 38  38  326  39
40 39  39  326  39
40 40  40  326  40
