80 1  1  80  1
80 2  2  238  11
80 3  3  238  22
80 4  4  372  33
80 5  5  392  44
80 6  6  392  55
80 7  7  392  66
80 8  8  438  77
80 9  9  478  79
80 10  10  538  79
80 11  11  538  79
80 12  12  538  79
80 13  13  538  79
80 14  14  538  79
80 15  15  538  79
80 16  16  562  79
80 17  17  564  79
80 18  18  626  79
80 19  19  628  79
80 20  20  668  79
80 21  21  668  79
80 22  22  668  79
80 23  23  668  79
80 24  24  668  79
80 25  25  668  79
80 26  26  668  79
80 27  27  668  79
80 28  28  668  79
80 29  29  668  79
80 30  30  668  79
80 31  31  668  79
80 32  32  692  79
80 33  33  694  79
80 34  34  696  79
80 35  35  698  79
80 36  36  726  79
80 37  37  726  79
80 38  38  726  79
80 39  39  726  79
80 40  40  766  79
80 41  41  766  79
80 42  42  766  79
80 43  43  766  79
80 44  44  766  79
80 45  45  766  79
80 46  46  766  79
80 47  47  766  79
80 48  48  766  79
80 49  49  766  79
80 50  50  766  79
80 51  51  766  79
80 52  52  766  79
80 53  53  766  79
80 54  54  766  79
80 55  55  766  79
80 56  56  766  79
80 57  57  766  79
80 58  58  766  79
80 59  59  766  79
80 60  60  766  79
80 61  61  766  79
80 62  62  766  79
80 63  63  766  79
80 64  64  790  79
80 65  65  792  79
80 66  66  794  79
80 67  67  796  79
80 68  68  798  79
80 69  69  800  79
80 70  70  800  79
80 71  71  800  79
80 72  72  800  79
80 73  73  800  79
80 74  74  800  79
80 75  75  800  79
80 76  76  800  79
80 77  77  800  79
80 78  78  800  79
80 79  79  800  79
80 80  80  800  80
