60 1  1  60  1
60 2  2  178  11
60 3  3  178  22
60 4  4  272  33
60 5  5  292  44
60 6  6  292  55
60 7  7  292  57
60 8  8  298  58
60 9  9  356  59
60 10  10  398  59
60 11  11  398  59
60 12  12  398  59
60 13  13  398  59
60 14  14  398  59
60 15  15  398  59
60 16  16  400  59
60 17  17  402  59
60 18  18  464  59
60 19  19  466  59
60 20  20  488  59
60 21  21  488  59
60 22  22  488  59
60 23  23  488  59
60 24  24  488  59
60 25  25  488  59
60 26  26  488  59
60 27  27  488  59
60 28  28  488  59
60 29  29  488  59
60 30  30  488  59
60 31  31  488  59
60 32  32  490  59
60 33  33  492  59
60 34  34  494  59
60 35  35  496  59
60 36  36  524  59
60 37  37  524  59
60 38  38  524  59
60 39  39  524  59
60 40  40  546  59
60 41  41  546  59
60 42  42  546  59
60 43  43  546  59
60 44  44  546  59
60 45  45  546  59
60 46  46  546  59
60 47  47  546  59
60 48  48  546  59
60 49  49  546  59
60 50  50  546  59
60 51  51  546  59
60 52  52  546  59
60 53  53  546  59
60 54  54  546  59
60 55  55  546  59
60 56  56  546  59
60 57  57  546  59
60 58  58  546  59
60 59  59  546  59
60 60  60  546  60
