70 1  1  70  1
70 2  2  208  11
70 3  3  208  22
70 4  4  322  33
70 5  5  342  44
70 6  6  342  55
70 7  7  342  66
70 8  8  368  68
70 9  9  408  69
70 10  10  468  69
70 11  11  468  69
70 12  12  468  69
70 13  13  468  69
70 14  14  468  69
70 15  15  468  69
70 16  16  472  69
70 17  17  474  69
70 18  18  536  69
70 19  19  538  69
70 20  20  578  69
70 21  21  578  69
70 22  22  578  69
70 23  23  578  69
70 24  24  578  69
70 25  25  578  69
70 26  26  578  69
70 27  27  578  69
70 28  28  578  69
70 29  29  578  69
70 30  30  578  69
70 31  31  578  69
70 32  32  582  69
70 33  33  584  69
70 34  34  586  69
70 35  35  588  69
70 36  36  616  69
70 37  37  616  69
70 38  38  616  69
70 39  39  616  69
70 40  40  656  69
70 41  41  656  69
70 42  42  656  69
70 43  43  656  69
70 44  44  656  69
70 45  45  656  69
70 46  46  656  69
70 47  47  656  69
70 48  48  656  69
70 49  49  656  69
70 50  50  656  69
70 51  51  656  69
70 52  52  656  69
70 53  53  656  69
70 54  54  656  69
70 55  55  656  69
70 56  56  656  69
70 57  57  656  69
70 58  58  656  69
70 59  59  656  69
70 60  60  656  69
70 61  61  656  69
70 62  62  656  69
70 63  63  656  69
70 64  64  660  69
70 65  65  662  69
70 66  66  664  69
70 67  67  666  69
70 68  68  668  69
70 69  69  670  69
70 70  70  670  70
